#,¿Qué tan importante consideras el impacto de los jugadores extranjeros en la NBA?,¿Cuál crees que ha sido la principal contribución de los jugadores extranjeros a la NBA?,¿Qué país (fuera de EE.UU.) crees que ha aportado más talento a la NBA?,¿Crees que la NBA debería implementar más campañas sociales globales (fuera de EE.UU.) como NBA Cares?
1,Medianamente importante,Estilo de juego diverso,Francia,Si
2,Medianamente importante,Inspiración para jóvenes fuera de EE.UU.,Otro,Si
3,,Elevación del nivel competitivo,Serbia,Si
4,Medianamente importante,Inspiración para jóvenes fuera de EE.UU.,Argentina,Si
5,Medianamente importante,Otra,Serbia,No tengo opinión
6,Medianamente importante,Aumento de la audiencia internacional,Argentina,Si
7,Muy importante,Elevación del nivel competitivo,España,Si
8,Muy importante,Inspiración para jóvenes fuera de EE.UU.,Francia,Si
9,Medianamente importante,Inspiración para jóvenes fuera de EE.UU.,Otro,Si
10,Poco importante,Aumento de la audiencia internacional,Argentina,Si
11,Fundamental,    Elevación del nivel competitivo,España,Si
12,    Muy importante,    Estilo de juego diverso,Canadá,Si
13,Fundamental,    Estilo de juego diverso,España,Si
14,    Muy importante,    Aumento de la audiencia internacional,Francia,Si
15,    Muy importante,,Serbia,Si
16,    Muy importante,    Inspiración para jóvenes fuera de EE.UU.,Francia,Si
17,    Muy importante,    Elevación del nivel competitivo,Serbia,Si
18,Fundamental,    Aumento de la audiencia internacional,España,Si
19,    Medianamente importante,    Aumento de la audiencia internacional,Serbia,Si
20,    Muy importante,    Aumento de la audiencia internacional,Serbia,Si
